ledger_id,timestamp_utc,actor,action,expected_state,observed_state,evidence_artifact_id,decision,notes
MC01-LEDGER-0001,2026-08-17T18:18:18.5108546Z,Codex,Opened stable MC-01 phase record,No hardware action and no emission,No hardware action performed,,CONTINUE_TO_OPERATOR_GATE_1,Repository audit completed; awaiting operator observation
MC01-LEDGER-0002,2026-08-17T19:09:22.4973017Z,Christopher Robertson,Confirmed physical optical inhibits,Installed interlock active and manual shutter closed,Interlock inhibits firing and manual shutter is closed,MC01-OPCONF-001,PASS_ITEM_1_CONTINUE_TO_ITEM_2,No emission authorized
MC01-LEDGER-0003,2026-08-17T19:10:42.6874477Z,Christopher Robertson,Inspected for physical armed-status indication,Physical armed state observable if an installed indicator exists,No armed-status indicator is present,MC01-OPCONF-002,CONTINUE_VIA_MANUFACTURER_GUI,SDK isArmed alternative explicitly not used
MC01-LEDGER-0004,2026-08-17T19:11:52.4566677Z,Christopher Robertson,Confirmed manufacturer GUI initially closed,GUI closed before ownership transfer,MIRcat GUI is closed,MC01-OPCONF-003,AWAIT_COMPETING_CLIENT_CONFIRMATION,No device connection performed
MC01-LEDGER-0005,2026-08-17T19:12:20.8805315Z,Christopher Robertson and Codex,Confirmed all competing MIRcat clients closed,No SDK or other MIRcat owner,Operator reports none open and Codex opened no SDK client,MC01-OPCONF-004,EXCLUSIVE_GUI_OWNERSHIP_AVAILABLE,Opening manufacturer GUI is the next operator action
MC01-LEDGER-0006,2026-08-17T19:15:47.5767323Z,Christopher Robertson,Opened manufacturer GUI,GUI opens without changing settings or enabling output,GUI is open,MC01-OPCONF-005,AWAIT_CONNECTION_STATUS,No active control clicked
MC01-LEDGER-0007,2026-08-17T19:17:17.9522588Z,Christopher Robertson,Provided initial GUI screenshots,Connected to MIRcat S/N 10524 with emission off,Connected to MIRcat S/N 10524; emission indicator dark; TURN EMISSION ON displayed,MC01-RAW-GUI-001;MC01-RAW-GUI-002,PASS_CONNECTION_EMISSION_OFF,Initial 1850.00 cm-1 and Internal Step Mode are not accepted MC-01 settings
MC01-LEDGER-0008,2026-08-17T19:18:36.0408156Z,Christopher Robertson,Opened About page and provided screenshot,GUI firmware model and serial provenance visible,Software 1.9.0.4; firmware 3.1.0; MIRcat-QT-Z-2100 S/N 10524,MC01-RAW-GUI-003,PASS_GUI_FIRMWARE_PROVENANCE,Motion firmware and hardware versions shown as N/A
MC01-LEDGER-0009,2026-08-17T19:34:57.4841889Z,Christopher Robertson,Exported initial manufacturer configuration,Native prechange configuration retained,mircat_initial_configuration.mcfg saved; 4293 bytes,MC01-RAW-CONFIG-001,PRESERVED_PRECHANGE_BASELINE,Opaque manufacturer binary; no hash gate
MC01-LEDGER-0010,2026-08-17T19:36:00.3161934Z,Christopher Robertson,Opened Favorites inventory without recalling a Favorite,Retained Favorite identifiable without changing configuration,Only Default and PowerOffCfg are present,MC01-RAW-GUI-004,NO_RETAINED_FAVORITE_AVAILABLE,Numeric accepted CH-00 point remains unresolved
MC01-LEDGER-0011,2026-08-17T19:36:58.3735057Z,Christopher Robertson,Confirmed standing T660-1 CHD exclusion,T660-1 CHD disconnected,T660-1 CHD will remain disconnected unless operator reports otherwise,MC01-OPCONF-006,PASS_CHD_EXCLUSION,No cable moved
MC01-LEDGER-0012,2026-08-17T19:37:40.1721028Z,Christopher Robertson,Confirmed standing MIRcat DB9 pin 5 exclusion,Pin 5 disconnected,Pin 5 will remain disconnected unless operator reports otherwise,MC01-OPCONF-007,PASS_PIN5_EXCLUSION,No conductor moved or probed
MC01-LEDGER-0013,2026-08-17T19:49:10.7940785Z,Christopher Robertson,Defined repository-wide default wiring restoration semantics,Four standing exclusions applied without recurring confirmation,T660-1 CHD and DB9 pin 5 disconnected; pins 6 and 8 unused/unwired,docs/default_wiring_state.md,PASS_DEFAULT_WIRING_CONVENTION,Reconfirm only after operator-reported change
MC01-LEDGER-0014,2026-08-17T19:49:49.619212Z,Codex,Applied and verified T660-only safe idle before GUI configuration transition,All T660 trigger sources and channels disabled with zero mismatches,Safe-idle recipe matched; no mismatches,MC01-READBACK-001,PASS_SAFE_IDLE,Finished 2026-08-17T19:49:55.643100Z; no MIRcat SDK connection or output enable
