calibration_id,measured_quantity,physical_reference_plane,target_reference_plane,measurement_method,required_equipment,wiring_setup,programmed_values,repetitions,raw_data_product,correction_terms,type_a_uncertainty,type_b_uncertainty,combined_standard_uncertainty,expanded_uncertainty,traceability_source,dependencies,closure_test,article_destination,current_status,bypass_allowed,effect_of_bypass
P0,configuration and identity provenance,configuration files and labels,run manifest,inventory and SHA-256,repository plus device records,no rewire,NA,1,manifest and hashes,none,NA,missing metadata terms,pending,pending,Git/manuals/certificates,none,hash verification,hardware table,IN PROGRESS,yes,claims limited where identity missing
S0,safe idle and interlocks,device outputs and laser states,verified readbacks,command plus independent verification,T660s MIRcat NdYAG,no rewire all normal connections,all outputs disabled,each setup,readbacks and photos,none,NA,verification method,pending,NA,manufacturer manuals,P0,all sources inhibited,safety record,NOT STARTED,no,campaign blocked
MS01,Pico A-B differential skew,common pulse split plane,Pico A and B digitized edges,normal and channel-exchanged captures,T660-2 Pico cables adapters,dedicated non-laser test setup,0 ns,100 each orientation,raw Pico traces,edge model and path assignment,repeatability,sampling timebase threshold,pending,pending,Pico certificate/manual,S0,orientation algebra,electrical timing method,NOT STARTED,yes,all two-channel timing provisional
MS02,splitter branch skew,splitter input,outputs 1 and 2,normal and swapped captures,T660-2 Pico splitter fixed leads,non-laser splitter setup,0 ns,100 each orientation,raw Pico traces,MS01,repeatability and reconnect,timebase threshold adapters,pending,pending,splitter ID plus Pico source,MS01,swap algebra,optical timing method,NOT STARTED,yes,splitter-corrected results unavailable
MS03,installed monitor geometry and load equivalence,Q-switch splitter input,pin-6 and detector-monitor electrical planes,load-equivalent normal/swapped capture,T660-2 Pico splitter final cables dummy/load-safe breakout,electrical-only exact optical geometry,0 ns,100 plus reconnect,raw Pico traces and setup photos,MS01 MS02,repeatability,load equivalence adapters,pending,pending,NdYAG input authority plus measured evidence,MS01 MS02,geometry reconstruction,optical timing table,NOT STARTED,yes,optical correction provisional
MS04,Pico sample interval timebase accuracy settings and sensitivities,Pico clock and waveform,reported edge time,settings/readback manual bound and reanalysis,PicoScope,timebase series,no delay plus representative delays,all electrical datasets,settings and sensitivity CSV,timebase interpolation threshold,repeatability,certificate/spec and model choice,pending,pending,Pico certificate/manual,MS01,residual consistency,uncertainty budget,NOT STARTED,yes,timing uncertainty incomplete
T201,EXT REF to DAQ timing,HF2LI DIO0 cable-end arrival,HF2LI DIO1 cable-end arrival,two-channel edge capture,T660-2 Pico final cables,destination ends to Pico A/B,0;100ns;1us;10us;100us;1ms,100 accepted per point,raw Pico traces,MS01 measurement-only paths,shot jitter,timebase threshold reconnection,pending,pending,T660 and Pico sources,S0 MS01 MS04,fit residual and monotonicity,electrical table,NOT STARTED,yes,DAQ timing unavailable
T202,EXT REF to MIRcat TRIG IN,HF2LI DIO0 cable-end arrival,MIRcat TRIG IN cable-end arrival,two-channel edge capture,T660-2 Pico final cables,destination ends to Pico A/B,0;100ns;1us;10us;100us;1ms,100 accepted per point,raw Pico traces,MS01,shot jitter,timebase threshold reconnection,pending,pending,T660 and Pico sources,S0 MS01 MS04,fit residual,electrical table,NOT STARTED,yes,MIRcat timing unavailable
T203,EXT REF to T660-1 TRIG IN,HF2LI DIO0 cable-end arrival,T660-1 trigger pin arrival,two-channel edge capture,T660-2 Pico final cables,destination ends to Pico A/B,0;100ns;1us;10us;100us;1ms,100 accepted per point,raw Pico traces,MS01,shot jitter,timebase threshold reconnection,pending,pending,T660 and Pico sources,S0 MS01 MS04,fit residual,electrical table,NOT STARTED,yes,cross-generator chain blocked
T204,T660-2 pulse fidelity and channel skew,corrected common reference,each relevant output end,waveform metrology,T660-2 Pico,within T201-T203,all sweep points,100 each,raw Pico traces,MS01 and scope response,repeatability,amplitude bandwidth termination,pending,pending,T660/Pico sources,T201 T202 T203,route consistency,electrical table,NOT STARTED,yes,quality claims limited
