campaign_id,phase_id,acquisition_id,decision_utc,decision_maker,exclusion_code,criterion_version,reason,downstream_effect,superseded_by_acquisition_id,notes
system_recalibration_001,HF-01,,2026-08-26T18:40:43.9235004Z,authorized_scope,HF01-EXCL-OPTICAL,HF01-BOUNDARY-v1,Laser arming firing emission shutter opening optics samples and biological work are outside HF01,No optical detector or biological claim may be made,,All lasers remain inhibited and shuttered
system_recalibration_001,HF-01,,2026-08-26T18:40:43.9235004Z,authorized_scope,HF01-EXCL-LATER-PHASES,HF01-BOUNDARY-v1,WM01 continuation ATT01 and every later phase are outside HF01,Execution stops at HF01 boundary,,No canonical promotion
system_recalibration_001,HF-01,,2026-08-26T18:40:43.9235004Z,design_freeze,HF01-EXCL-PARAMETER-GRID,HF01-SELECTION-v1,Physical exhaustive filter or range grid is prohibited,Supported combinations are evaluated computationally after three anchors,,One targeted extra point only under frozen residual rule
system_recalibration_001,HF-01,,2026-08-26T19:36:09.2395061Z,Christopher Robertson,HF01-DEV-001,HF01-EVIDENCE-v1,Operator declined component and wiring photographs,Photographic evidence unavailable; native readbacks measurements stable IDs and operator route confirmations govern,,Not an operational block and does not waive final restoration observation
system_recalibration_001,HF-01,HF01-TIMING10-001,2026-08-26T19:46:03.1189505Z,Codex,HF01-REJECT-DIO-EXPORT,HF01-TIMING-COPY-v1,HF2 poll was acquired but the exporter saved default X and Y fields instead of requested DIO,Reference-copy and marker-copy offset acceptance unavailable,,Preserve all Pico HF2 and T660 evidence; do not repeat without prospective amendment
system_recalibration_001,HF-01,HF01-TIMING10-R1-001,2026-08-26T19:49:21.1371296Z,Codex,HF01-REJECT-DIO-PULSE-WIDTH,HF01-TIMING-COPY-v1,Correct DIO stream exported but 150 ns pulse width is below the 277.943 us streamed sample interval,No HF2 DIO0 or DIO1 event timestamps; copy-offset acceptance unavailable,,Preserve all evidence; one millisecond prospective method requires explicit amendment
system_recalibration_001,HF-01,HF01-TIMING10-R2-001,2026-08-26T19:55:47.2161263Z,Codex,HF01-REJECT-HF2-POLL-WINDOW,HF01-TIMING-COPY-v2,HF2 poll began before PicoScope open and arm and ended 53.155 ms after the first copied edge,Only one of ten required HF2 DIO0 and DIO1 event timestamps retained,,Preserve all evidence; no automatic retry; corrected acquisition order requires prospective authorization
system_recalibration_001,HF-01,HF01-AWG-FIRST-ENABLE-001,2026-08-26T20:05:59.4008047Z,Codex,HF01-REJECT-PICO-BUSY,HF01-AWG-FIRST-ENABLE-v1,PicoSDK status 39 rejected the generator call while block acquisition was already armed,No connected-voltage measurement and no nonzero output applied,,Preserve evidence; repeat with unchanged electrical settings and generator configuration before block arm under HF01-AUTH-AMEND-004
system_recalibration_001,HF-01,HF01-TIMING10-R3-001,2026-08-26T21:44:00Z,Codex,HF01-REJECT-MASTER-CLOCK-UNLOCKED,HF01-TIMING-COPY-v3,Earlier acceptance used inverted HF2LI master-clock flag semantics and the external clock was not locked,Do not use R3 as accepted timing-copy evidence,HF01-TIMING10-R5-001,R5 repeats the method with extclk selected and PLL/DCM lock flags both zero
system_recalibration_001,HF-01,HF01-TIMING10-R4-001,2026-08-26T21:44:00Z,Codex,HF01-REJECT-RAPID-CAPTURE-REGRESSION,HF01-TIMING-COPY-v3,Pico rapid capture returned no record after a misplaced service method caused the capture routine to return None,No event result retained,HF01-TIMING10-R5-001,Service method placement corrected and focused tests passed before R5
system_recalibration_001,HF-01,HF01-ANCHOR-FAST-R1-001,2026-08-26T21:44:00Z,Codex,HF01-REJECT-REFERENCE-DETUNING,HF01-MODEL-RESIDUAL-v1,Carrier and T660 reference differed by about 13.79 Hz,Do not use response residuals,HF01-ANCHOR-FAST-R2-001,Shared reference was corrected prospectively
system_recalibration_001,HF-01,HF01-ANCHOR-INTERMEDIATE-001,2026-08-26T21:44:00Z,Codex,HF01-REJECT-REFERENCE-DETUNING,HF01-MODEL-RESIDUAL-v1,Carrier and T660 reference differed by about 13.79 Hz,Do not use response residuals,HF01-ANCHOR-INTERMEDIATE-R1-001,Shared reference was corrected prospectively
system_recalibration_001,HF-01,HF01-ANCHOR-SLOW-001,2026-08-26T21:44:00Z,Codex,HF01-REJECT-REFERENCE-DETUNING,HF01-MODEL-RESIDUAL-v1,Carrier and T660 reference differed by about 13.79 Hz,Do not use response residuals,HF01-ANCHOR-SLOW-R1-001,Shared reference was corrected prospectively
system_recalibration_001,HF-01,HF01-ANCHOR-SLOW-R1-001,2026-08-26T21:44:00Z,Codex,HF01-REJECT-SLOW-DWELL-AND-REFERENCE-DRIFT,HF01-MODEL-RESIDUAL-v1,Reference drift and insufficient high-offset dwell invalidate the slow response residuals,Do not retain as primary model evidence,HF01-ANCHOR-SLOW-R2-001,Same frozen anchor repeated with longer dwell
system_recalibration_001,HF-01,HF01-ANCHOR-SLOW-R2-001,2026-08-26T21:44:00Z,Codex,HF01-SUPERSEDED-BY-HIGHER-RATE-READBACK,HF01-MODEL-RESIDUAL-v1,Low-rate slow record was superseded by the prospectively required higher output-rate check,Preserve as diagnostic only,HF01-ANCHOR-SLOW-R3-001,R3 uses the same frozen filter anchor and actual installed readback
system_recalibration_001,HF-01,HF01-ANCHOR-FAST-R2-001,2026-08-26T21:44:00Z,Codex,HF01-REJECT-CARRIER-REPLICATE-INCONSISTENT,HF01-MODEL-RESIDUAL-v1,The first zero-offset carrier scale differs by about 35 percent span from the other carrier replicates,Fast magnitude and cutoff metrics are not accepted as a model rejection,,A replacement requires prospective acquisition-design amendment because the targeted-point allowance is exhausted
system_recalibration_001,HF-01,HF01-TARGET-HIGHORDER-001,2026-08-26T21:44:00Z,Codex,HF01-EXCLUDE-SUPERSEDED-TRIGGER,HF01-MODEL-RESIDUAL-v1,The apparent slow failure that invoked this point used requested 100 ms instead of installed 71.153 ms,Diagnostic response is preserved but cannot count as primary or repair phase synchronization,,Target magnitude cutoff and settling pass at its installed readback
system_recalibration_001,HF-01,,2026-08-26T21:44:00Z,Codex,HF01-STOP-PHASE-DOMAIN-UNSYNCHRONIZED,HF01-MODEL-RESIDUAL-v1,PicoScope input phase and HF2LI complex output phase were not synchronized to a shared marker during response anchors,Phase residual complex RMS group delay and intermediate phase-sign reversal are not evaluable,,Frozen all-metrics criterion cannot pass; stop before computational configuration selection
system_recalibration_001,HF-01,HF01-ANCHOR-FAST-V2-001,2026-08-26T22:18:00.8855206Z,Codex,HF01-SUPERSEDED-PIPELINE-NUISANCE-UNDECLARED,HF01-MODEL-RESIDUAL-v2,The clean paired record resolves a constant sub-sample demodulator pipeline delay that v2 did not predeclare,Preserve as exploratory evidence and do not count toward model acceptance,HF01-ANCHOR-FAST-V3-001,The v3 criterion bounds one zero-intercept constant delay and requires a new acceptance record
system_recalibration_001,HF-01,HF01-PLL-ANALOG-REFERENCE-DIAG-001,2026-08-26T20:26:41.686946Z,Codex,HF01-DIAG-ANALOG-REFERENCE-UNLOCKED,HF01-REFERENCE-ROUTE-v1,PLL0 did not lock to the bounded analog-reference candidate.,Retain DIO0 as the external-reference route.,,Diagnostic retained; no laser or optical action.
system_recalibration_001,HF-01,HF01-ANCHOR-SLOW-V3-001,2026-08-26T22:23:20Z,Codex,HF01-REJECT-SLOW-SETTLING-REPLICATE,HF01-MODEL-RESIDUAL-v3,One rising transition exceeded 120 percent of predicted 1 to 99 percent settling.,Do not use as the primary slow anchor.,HF01-ANCHOR-SLOW-V3-R1-001,The prospectively permitted one identical-setting repeat passed.
system_recalibration_001,HF-01,HF01-LOWER-SWEEP-HRP-IN1-001,2026-08-26T22:57:00Z,Codex,HF01-REJECT-RATE-GUARD,HF01-RATE-GUARD-v1,Rate-to-cutoff ratio 6.509 is below the required 8.,Retain 899.4654605263158 Sa/s for sweep and HRP.,HF01-SELECTED-SWEEP-HRP-IN1-001,Electrical data remain retained.
system_recalibration_001,HF-01,HF01-LOWER-MBCO-IN1-001,2026-08-26T22:57:00Z,Codex,HF01-REJECT-RATE-GUARD,HF01-RATE-GUARD-v1,Rate-to-cutoff ratio 4.051 is below the required 8 and the electrical model confirmation fails.,Retain 230263.15789473685 Sa/s as the MbCO boundary rate.,HF01-SELECTED-MBCO-IN1-001,This does not cure the mandatory 1 us limitation.
system_recalibration_001,HF-01,HF01-SELECTED-MBCO-IN1-001,2026-08-26T22:57:00Z,Codex,HF01-LIMIT-MBCO-1US,HF01-SELECTION-v1,Fastest valid dual-channel configuration supplies 0.230 sample per 1 us and modeled attenuation is 82.421 percent.,Configuration may be used only as an explicitly limited boundary; it is not valid for the mandatory 1 us MbCO claim.,,No supported HF2LI configuration satisfies this requirement.
system_recalibration_001,HF-01,HF01-FINAL-RESTORATION-STATE-001,2026-08-26T23:49:00.839654Z,Codex,HF01-REJECT-COM3-CONTENTION,HF01-FINAL-RESTORATION-v1,Windows denied COM3 access before the first T660 readback.,No final-state claim from this attempt; use the retained R1 readback.,HF01-FINAL-RESTORATION-STATE-R1-001,No hardware state change was inferred from the failed attempt.
