campaign_id,phase_id,acquisition_id,decision_utc,decision_maker,exclusion_code,criterion_version,reason,downstream_effect,superseded_by_acquisition_id,notes
system_recalibration_001,MC-01,,2026-08-17T18:18:18.5108546Z,Codex,MC01-EXCL-EMISSION,MC01-BOUNDARY-v1,Optical emission is outside MC-01 authorization,Any mandatory criterion requiring emission blocks phase closeout,,Authorization boundary
system_recalibration_001,MC-01,,2026-08-17T18:18:18.5108546Z,Codex,MC01-EXCL-UNUSED-PINS,MC01-BOUNDARY-v1,T660-1 CHD and MIRcat DB9 pins 5 6 and 8 are excluded,No claims for excluded routes or modes,,Authorization boundary
system_recalibration_001,MC-01,,2026-08-17T18:18:18.5108546Z,Codex,MC01-EXCL-MULTISPECTRAL,MC01-BOUNDARY-v1,Unused multispectral and channel modes are outside retained CH-00 sequence,No qualification beyond TOPO-POINT-01,,Authorization boundary
system_recalibration_001,MC-01,MC01-REPEAT-001,2026-08-17T20:11:03.0405401Z,Codex,MC01-BLOCK-EMISSION,MC01-BOUNDARY-v1,GUI requires arming before Step and Measure can start and manufacturer behavior entails firing,Three active repeats and transition/delay claims remain unqualified,,Genuine non-emitting blocker; applies equally to MC01-REPEAT-002 and MC01-REPEAT-003
system_recalibration_001,MC-01,,2026-08-17T20:32:17.9445320Z,Christopher Robertson,MC01-AUTH-SUPERSESSION,MC01-BOUNDARY-v2,Controlled emission and SDK controls necessary for MC-01 are now authorized,Active repeats may resume under bounded MC-01 procedure,MC01-AUTH-002,Supersedes emission exclusion only; all unused-pin multispectral sample biological and later-phase exclusions remain
system_recalibration_001,MC-01,MC01-ACTIVE-REPEAT-001,2026-08-17T22:02:30Z,Codex,MC01-REJECT-ENGINE-STOPPED,MC01-ACTIVE-v1,TRIG EXECute was sent while T660 timing engine remained stopped after safe idle,No MIRcat transition and acquisition cannot count as a bounded repeat,,Preserve as rejected partial; do not treat as process-trigger failure
system_recalibration_001,MC-01,MC01-ACTIVE-REPEAT-002-DIO-INIT,2026-08-17T22:08:00Z,Codex,MC01-REJECT-HF2-PYTHON-RUNTIME,MC01-ACTIVE-v1,Imported zhinst.ziPython namespace lacks ziDAQServer compiled API,No DIO acquisition and no process command occurred,,Preserve failed initialization; correct runtime before repeating
system_recalibration_001,MC-01,MC01-ACTIVE-REPEAT-002,2026-08-17T22:17:25.601034Z,Codex,MC01-REJECT-DIO-GRID-EXPORT,MC01-ACTIVE-v1,Multidimensional HF2 grid CSV normalization failed after the accepted GUI repeat,GUI repeat remains accepted; DIO export is rejected,,Raw partial and status retained; do not repeat accepted process behavior
system_recalibration_001,MC-01,MC01-ACTIVE-REPEAT-003,2026-08-17T22:23:59.754968Z,Codex,MC01-REJECT-DIO-METADATA-EXPORT,MC01-ACTIVE-v1,HF2 payload included module metadata alongside numeric grids,GUI repeat remains accepted; DIO export is rejected,,Raw partial and status retained; separate diagnostic supplies DIO evidence
system_recalibration_001,MC-01,MC01-DIO-DIAGNOSTIC-001,2026-08-17T22:26:04.112327Z,Codex,MC01-REJECT-GRID-INTERPOLATION,MC01-ACTIVE-v1,Exact-grid interpolation is unsuitable for discrete digital-word level semantics,Diagnostic superseded by raw subscription poll,MC01-DIO-DIAGNOSTIC-002,Preserved as rejected diagnostic
