artifact_id,campaign_id,phase_id,acquisition_id,relative_path,artifact_role,media_type,byte_size,created_utc,modified_utc,producer,source_artifact_ids,immutable,notes
CH00-ART-001,system_characterization_001,CH-00,,phases/CH-00/acceptance_and_uncertainty.md,analysis_document,text/plain,3031,2026-08-17T17:11:49.156726+00:00,2026-08-17T17:11:49.156726+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-002,system_characterization_001,CH-00,,phases/CH-00/acquisition_index.csv,derived_table,text/csv,262,2026-08-17T17:12:44.113111+00:00,2026-08-17T17:12:44.113628+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-003,system_characterization_001,CH-00,,phases/CH-00/analysis/build_artifact_index.py,analysis_source,text/plain,2083,2026-08-17T17:12:44.121912+00:00,2026-08-17T17:12:44.122433+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-004,system_characterization_001,CH-00,,phases/CH-00/calibration_dependency_graph.md,analysis_document,text/plain,949,2026-08-17T17:11:05.135743+00:00,2026-08-17T17:11:05.135743+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-005,system_characterization_001,CH-00,,phases/CH-00/calibration_links.csv,derived_table,text/csv,3452,2026-08-17T17:11:05.136745+00:00,2026-08-17T17:11:05.136745+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-006,system_characterization_001,CH-00,,phases/CH-00/claim_to_measurement_mapping.csv,derived_table,text/csv,2145,2026-08-17T17:11:05.133743+00:00,2026-08-17T17:11:05.133743+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-007,system_characterization_001,CH-00,,phases/CH-00/command_log.txt,log,text/plain,444,2026-08-17T17:12:44.118264+00:00,2026-08-17T17:21:00.746036+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-008,system_characterization_001,CH-00,,phases/CH-00/conditions.csv,derived_table,text/csv,162,2026-08-17T17:12:44.114142+00:00,2026-08-17T17:12:44.114664+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-009,system_characterization_001,CH-00,,phases/CH-00/configuration_identity_conventions.md,analysis_document,text/plain,1579,2026-08-17T17:11:49.158279+00:00,2026-08-17T18:03:28.754525+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-010,system_characterization_001,CH-00,,phases/CH-00/exclusions.csv,derived_table,text/csv,1432,2026-08-17T17:12:44.115693+00:00,2026-08-17T17:12:44.116208+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-011,system_characterization_001,CH-00,,phases/CH-00/explicit_exclusions.md,analysis_document,text/plain,1040,2026-08-17T17:11:49.160787+00:00,2026-08-17T17:11:49.161290+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-012,system_characterization_001,CH-00,,phases/CH-00/exposure_budget_policy.md,analysis_document,text/plain,1146,2026-08-17T17:11:49.158782+00:00,2026-08-17T17:11:49.158782+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-013,system_characterization_001,CH-00,,phases/CH-00/final_report.md,report,text/plain,2292,2026-08-17T17:12:44.120861+00:00,2026-08-17T18:03:28.758688+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-014,system_characterization_001,CH-00,,phases/CH-00/frozen_test_grid.csv,derived_table,text/csv,1634,2026-08-17T17:11:05.134742+00:00,2026-08-17T17:11:05.134742+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-015,system_characterization_001,CH-00,,phases/CH-00/imported_p0_decisions.md,analysis_document,text/plain,1764,2026-08-17T17:11:49.159785+00:00,2026-08-17T18:03:28.755524+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-016,system_characterization_001,CH-00,,phases/CH-00/measurements.csv,derived_table,text/csv,232,2026-08-17T17:12:44.115179+00:00,2026-08-17T17:12:44.115179+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-017,system_characterization_001,CH-00,,phases/CH-00/phase_manifest.json,readback,application/json,2289,2026-08-17T17:11:05.132738+00:00,2026-08-17T18:03:28.756524+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-018,system_characterization_001,CH-00,,phases/CH-00/registries.csv,derived_table,text/csv,2366,2026-08-17T17:21:00.742230+00:00,2026-08-17T18:03:28.753524+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-019,system_characterization_001,CH-00,,phases/CH-00/repository_state.txt,log,text/plain,1222,2026-08-17T17:20:15.905168+00:00,2026-08-17T17:20:15.905682+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-020,system_characterization_001,CH-00,,phases/CH-00/restoration_confirmation.json,operator_observation,application/json,452,2026-08-17T17:12:44.116722+00:00,2026-08-17T17:21:00.745036+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
CH00-ART-021,system_characterization_001,CH-00,,phases/CH-00/unresolved_inputs.md,analysis_document,text/plain,410,2026-08-17T17:12:44.117235+00:00,2026-08-17T18:03:28.757688+00:00,CH-00 analysis closeout,,true,No content hash is used as an operational gate
