campaign_id,phase_id,phase_run_id,calibration_bundle_id,calibration_quantity_id,source_campaign_id,source_phase_id,source_artifact_id,value_used,unit,standard_uncertainty,validity_status,notes
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,MS01-PICO-CHANNEL-PATH-SKEW,MS01-PICO-CHANNEL-PATH-SKEW,system_recalibration_001,MS-01,ms01_results.json,0.119976522,ns,0.577372813,INFORMATIONAL,Earlier Pico channel/path reference retained; MS02 correction governs applicable path result
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,MS02-SPLITTER-AND-PATH-CORRECTIONS,MS02-PICO-PATH-B-MINUS-A,system_recalibration_001,MS-02,ms02_results.json,0.109947073,ns,0.581707394,VALID,Apply to applicable Pico B-minus-A path before HF01 copy-offset interpretation
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,MS02-SPLITTER-AND-PATH-CORRECTIONS,MS02-SPLITTER-S2-MINUS-S1,system_recalibration_001,MS-02,ms02_results.json,0.013383015,ns,0.577390856,VALID,Installed clock splitter remains unchanged
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,T2-01-DIRECT-ROUTES,T201-EXTREF-TO-HF2-DAQ,system_recalibration_001,T2-01,t2_01_results.json,0.948750,ns,0.694521,VALID,Direct-route provenance for timing relation; temporary copy offsets are measured in HF01
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,CH00-FROZEN-REQUIREMENT-GRID,CH00-CLAIM-ENVELOPE,system_recalibration_001,CH-00,frozen_test_grid.csv,,, ,LIMITED,Frozen waveform families imported; unresolved numeric boundaries remain explicit
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-PROVISIONAL-ELECTRICAL-RESPONSE-v1,HF01-SWEEP-SELECTED-001,system_recalibration_001,HF-01,selected_configurations.json,,,,PROVISIONAL_VALID_WITH_ENVELOPE,Electrical response and restorable settings; AR-01 retains final optical feature-tolerance authority.
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-PROVISIONAL-ELECTRICAL-RESPONSE-v1,HF01-HRP-SELECTED-001,system_recalibration_001,HF-01,selected_configurations.json,,,,PROVISIONAL_VALID_WITH_ENVELOPE,Numeric alias of sweep settings with a separate HRP applicability envelope.
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-PROVISIONAL-ELECTRICAL-RESPONSE-v1,HF01-MBCO-SELECTED-001,system_recalibration_001,HF-01,selected_configurations.json,,,,LIMITED_OUTSIDE_MANDATORY_1US,Fastest valid HF2LI boundary setting; not valid for the mandatory 1 us claim.
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-PROVISIONAL-ELECTRICAL-RESPONSE-v1,HF01-DUAL-DEMOD-MODEL-v3,system_recalibration_001,HF-01,analysis/hf01_dual_demod_model_validation_results.json,,,,VALID,Three sparse anchors pass the frozen manufacturer-model criterion.
system_recalibration_001,HF-01,system_recalibration_001_HF-01_001,HF01-PROVISIONAL-ELECTRICAL-RESPONSE-v1,HF01-TIMING-COPY-v3,system_recalibration_001,HF-01,analysis/hf01_timing10_r3_results.json,,,,VALID,Accepted acquisition is HF01-TIMING10-R5-001.
