ledger_id,timestamp_utc,actor,action,expected_state,observed_state,evidence_artifact_id,decision,notes
HF01-LEDGER-0001,2026-08-26T18:40:43.9235004Z,Codex,Opened stable HF01 evidence record,No hardware action and no optical emission,Repository and evidence audit completed,HF01-AUTH-001,CONTINUE_SOFTWARE_PREFLIGHT,Prior WM01 final physical state not inferred; current operator observations required
HF01-LEDGER-0002,2026-08-26T18:47:46.523397Z,Codex,Ran HF01 software/device preflight with Pico generator programmed zero,READY_FOR_PHASE_APPROVAL without emission or cable movement,Pico/HF2 checks completed but T660-2 gave no serial response; T660-1 responds and COM7 is present,HF01-PREFLIGHT-001,USER_INPUT_REQUIRED_T6602_POWER_OBSERVATION,No cable moved and no nonzero generator output; do not infer T660-2 physical state
HF01-LEDGER-0003,2026-08-26T19:23:50.2582079Z,Christopher Robertson,Disconnected and reconnected T660-2,T660-2 connection restored for a bounded preflight retry,Operator reports T660-2 has been disconnected and reconnected,,RETRY_SOFTWARE_PREFLIGHT,Recorded verbatim; connection type display state and output state are not inferred
HF01-LEDGER-0004,2026-08-26T19:24:12.569884Z,Codex,Ran HF01 software/device preflight with Pico generator programmed zero,READY_FOR_PHASE_APPROVAL without emission or cable movement,Pico/HF2 checks completed but T660-2 gave no serial response; T660-1 responds and COM7 is present,HF01-PREFLIGHT-001,USER_INPUT_REQUIRED_T6602_POWER_OBSERVATION,No cable moved and no nonzero generator output; do not infer T660-2 physical state
HF01-LEDGER-0005,2026-08-26T19:26:40.1499117Z,Christopher Robertson,Power-cycled T660-2,T660-2 powered and serial activity observable,Operator reports the power LED indicates that T660-2 is receiving power and data,,RETRY_SOFTWARE_PREFLIGHT,Physical observation accepted as reported; output state is not inferred
HF01-LEDGER-0006,2026-08-26T19:27:00.218773Z,Codex,Completed HF01 software/device preflight with Pico generator programmed zero,READY_FOR_PHASE_APPROVAL without emission or cable movement,T660 safe idle matched; Pico single-handle capture/AWG controls passed at programmed zero; HF2 dev18500 snapshot retained,HF01-PREFLIGHT-001,WAIT_FOR_ONE_OPERATOR_OBSERVATION,No cable moved and no nonzero generator output; current laser and shutter state remains USER_INPUT_REQUIRED
HF01-LEDGER-0007,2026-08-26T19:28:34.5846785Z,Christopher Robertson,Clarified and confirmed Nd:YAG/OPO nonemitting state,Nd:YAG/OPO cannot fire during HF01,No separate electronic-inhibit control exists; lasers are turned off and the interlock is disconnected so they cannot fire,HF01-OPCONF-001,PASS_NDYAG_OPO_NONEMITTING_STATE,Accepted as the installed-system inhibit implementation; shutter state remains a separate observation
HF01-LEDGER-0008,2026-08-26T19:29:37.8679451Z,Christopher Robertson,Confirmed closed-shutter standing state and authorized advancement past remaining repetitive safety checks,All laser systems remain nonemitting and shuttered,Shutters are closed unless the operator explicitly reports they are open; operator authorizes moving to the next step,HF01-OPCONF-002,PASS_SAFETY_INTAKE_ADVANCE_TO_COMPONENT_INSPECTION,No arming firing emission or shutter opening authorized; physical cable work remains one action at a time
HF01-LEDGER-0009,2026-08-26T19:30:47.7308617Z,Christopher Robertson,Authorized batched routine operator instructions,Accelerate HF01 physical setup while preserving consequential gates,Multiple inspection and wiring steps may be provided together,HF01-AUTH-AMEND-001,ADOPT_BATCHED_OPERATOR_WORKFLOW,Pause remains mandatory before first nonzero AWG enable and before restoration acceptance
HF01-LEDGER-0010,2026-08-26T19:36:09.2395061Z,Christopher Robertson,Labeled HF01 components and connected the monitored stimulus topology,AWG remains zero while Signal Input 1 and Pico A share the selected tee,Signal OUT through STIMULUS-TEE and RG58-01 to HF2LI Signal Input 1; second tee arm through RG58-02 to PicoScope channel A,HF01-OPCONF-003,ACCEPT_STIMULUS_WIRING_PENDING_READBACK,No photo provided by operator; no timing-copy connection or nonzero output is inferred
HF01-LEDGER-0011,2026-08-26T19:36:53.663826Z,Codex,Reapplied pre-timing-wiring electrical safe state,Pico generator programmed zero and both T660 units match safe idle,Zero-output API command passed; T660 readback has zero mismatches,HF01-SAFE-001,PASS_FOR_TIMING_WIRING,No nonzero generator output or T660 timing output
HF01-LEDGER-0012,2026-08-26T19:44:51.2824370Z,Christopher Robertson,Confirmed temporary timing-copy rewiring,T660-2 A to HF2 DIO0 B to Pico B C to HF2 DIO1 and D to Pico EXT with MIRcat and T660-1 destinations disconnected,Operator confirms rewiring completed as instructed,HF01-OPCONF-004,AUTHORIZE_SINGLE_DIGITAL_TIMING_CHECK,Clock splitter and stimulus wiring treated under completed batch; no nonzero AWG output
HF01-LEDGER-0013,2026-08-26T19:45:22.563998Z,Codex,Executed the single authorized 10 Hz digital timing check,Exactly ten events with Pico and HF2 DIO evidence followed by safe idle,T660 count 0 to 10; Pico captured ten overflow-free segments; HF2 poll occurred but exporter saved X and Y rather than DIO,HF01-TIMING10-001,REJECTED_PARTIAL_HF2_DIO_EXPORT,AWG zero before and after; final T660 safe idle matched; no silent retry
HF01-LEDGER-0014,2026-08-26T19:46:03.1189505Z,Codex,Repaired prospective HF2 DIO exporter validation,Any replacement timing check must save only the requested DIO path and reject wrong path count,Utility now stamps fields equals dio and requires one exported path,HF01-ANALYSIS-TIMING10-001,USER_INPUT_REQUIRED_PROSPECTIVE_AMENDMENT,Code repair does not authorize or perform a second 10 Hz check
HF01-LEDGER-0015,2026-08-26T19:46:48.9951910Z,Christopher Robertson,Authorized exactly one replacement 10 Hz timing check,Replacement may correct the HF2LI DIO export defect while preserving the rejected first run,Operator grants authority to repeat with the correct HF2LI DIO export,HF01-AUTH-AMEND-002,AUTHORIZE_HF01_TIMING10_R1,No additional timing-check repeat is authorized; AWG remains zero
HF01-LEDGER-0016,2026-08-26T19:47:27.388031Z,Codex,Executed authorized replacement 10 Hz timing check with correct DIO export,Exactly ten events and actual sample.dio path followed by safe idle,DIO export contains 5576 samples but 150 ns pulses produced zero DIO0 and DIO1 high samples at 3597.862 samples per second; Pico ten segments passed,HF01-TIMING10-R1-001,REJECTED_PARTIAL_PULSE_WIDTH_BELOW_DIO_SAMPLE_INTERVAL,AWG zero before and after; final T660 safe idle matched; no further repeat authorized
HF01-LEDGER-0017,2026-08-26T19:49:21.1371296Z,Codex,Declared prospective device-resolved final timing method,A further timing check would use one millisecond pulses and maximum supported single-demodulator rate with one-to-one event acceptance,Method frozen before any further data and not executed,HF01-TIMING-R2-DECLARATION,USER_INPUT_REQUIRED_PROSPECTIVE_AMENDMENT,Requires explicit authority for one final check and HF01-TIMING-COPY-v2
HF01-LEDGER-0018,2026-08-26T19:52:11.4007288Z,Christopher Robertson,Authorized exactly one final device-resolved 10 Hz timing check,Execute the frozen one millisecond pulse and maximum-rate DIO method under amended timing criterion,Operator states I authorize this,HF01-AUTH-AMEND-003,AUTHORIZE_HF01_TIMING10_R2,Exactly one execution; no automatic retry; PicoScope AWG remains programmed zero
HF01-LEDGER-0019,2026-08-26T19:54:55.179199Z,Codex,Executed the single authorized R2 timing check,Collect ten 1 ms events at maximum single-demodulator HF2 DIO rate under HF01-TIMING-COPY-v2,T660 count 0 to 10 and Pico ten overflow-free segments passed; HF2 retained one simultaneous DIO0/DIO1 edge because poll ended before later events,HF01-TIMING10-R2-001,REJECTED_PARTIAL_HF2_POLL_WINDOW,AWG zero before and after; external clock selected and locked; final T660 safe idle matched; no automatic retry
HF01-LEDGER-0020,2026-08-26T19:55:47.2161263Z,Codex,Diagnosed R2 acquisition-window sequencing defect and froze prospective R3,Start HF2 polling only after PicoScope arm and start T660 inside the retained poll window,First edge occurred 1.469682 s into a 1.522837 s stream leaving 53.155 ms; Pico retained all ten events,HF01-TIMING-R3-DECLARATION,USER_INPUT_REQUIRED_PROSPECTIVE_AMENDMENT,R3 changes only acquisition order and requires explicit authority for exactly one execution
HF01-LEDGER-0021,2026-08-26T19:59:34.8396345Z,Christopher Robertson,Authorized R3 and subsequent necessary bounded HF01 acquisition repeats,Allow Codex to diagnose correct and repeat acquisitions without per-run permission,Operator authorizes this and any subsequent runs necessary to collect required data,HF01-AUTH-AMEND-004,AUTHORIZE_BOUNDED_HF01_ACQUISITION_REPEATS,Each run remains uniquely identified and preserved; first nonzero AWG confirmation and all phase boundaries remain in force
HF01-LEDGER-0022,2026-08-26T20:00:46.868796Z,Codex,Executed and accepted acquisition-window-corrected timing check,Collect exact one-to-one 10 Hz reference and marker copies under HF01-TIMING-COPY-v2,Ten DIO0 rises ten DIO1 rises ten overflow-free Pico segments and 180.035 ms final HF2 margin,HF01-TIMING10-R3-001,PASS_HF01_TIMING_COPY_V2,AWG zero before and after; external clock selected and locked; final T660 safe idle matched
HF01-LEDGER-0023,2026-08-26T20:04:01.8184938Z,Codex,Prepared first nonzero AWG connected-voltage acquisition,Present exact declared output and source-load calculation before execution,Utility compiles and tests pass; unique output paths are unused; no nonzero output executed,HF01-AWG-FIRST-ENABLE-001,WAIT_FOR_FIRST_NONZERO_ENABLE_CONFIRMATION,Separate confirmation remains mandatory despite bounded repeat authorization
HF01-LEDGER-0024,2026-08-26T20:05:01.7544193Z,Christopher Robertson,Confirmed first nonzero PicoScope AWG enable,Execute the presented bounded two megahertz connected-voltage capture,Operator states authorization given after exact settings and guards were presented,HF01-OPCONF-005,AUTHORIZE_HF01_AWG_FIRST_ENABLE,Subsequent bounded acquisitions remain under HF01-AUTH-AMEND-004
HF01-LEDGER-0025,2026-08-26T20:05:31.248610Z,Codex,Attempted first-enable acquisition but SDK rejected output command before enable,Measure connected two megahertz stimulus under confirmed envelope,PicoSDK returned status 39 PICO_BUSY because block capture was armed before generator configuration; no nonzero command was accepted,HF01-AWG-FIRST-ENABLE-001,REJECTED_BEFORE_NONZERO_ENABLE_PICO_BUSY,AWG final zero; HF2 restored; T660 safe idle; corrected ordering will use a new acquisition ID
HF01-LEDGER-0026,2026-08-26T20:07:06.115602Z,Codex,Executed and accepted first nonzero connected-voltage capture,Establish measured PicoScope channel-A stimulus authority,Measured 0.0512478 Vpp offset -1.485 mV no overflow no HF2 clipping and no hard stop,HF01-AWG-FIRST-ENABLE-R1-001,PASS_FIRST_ENABLE_ENVELOPE,Nonzero interval 306.806 ms; AWG returned zero; HF2 restored; T660 safe idle
HF01-LEDGER-0027,2026-08-26T21:12:00Z,Christopher Robertson,Power-cycled HF2LI after repeated stale external-reference PLL behavior,Indicators normal after power cycle,Operator reports power cycle complete and indicators normal,HF01-OPCONF-006,CONTINUE_BOUNDED_RECOVERY,No laser or optical action
HF01-LEDGER-0028,2026-08-26T21:15:00Z,Codex,Re-established installed master clock and DIO reference PLL after power cycle,External clock selected with PLL and DCM lock flags zero and reference PLL locked,Post-cycle diagnostics 013 and 014 pass at required reference rates,HF01-PLL-REFERENCE-DIAG-014,CONTINUE_CORRECTED_TIMING,Lock flag semantics follow installed HF2 node documentation
HF01-LEDGER-0029,2026-08-26T21:16:44.846671Z,Codex,Rejected corrected-clock timing R4 after Pico rapid-capture regression,Retain exact event method with no partial acceptance,HF2 DIO record missing because capture service returned no rapid-block record,HF01-TIMING10-R4-001,REJECTED_SOFTWARE_REGRESSION,AWG and T660 returned safe; service method placement corrected and focused tests passed
HF01-LEDGER-0030,2026-08-26T21:17:38.720570Z,Codex,Executed accepted corrected-clock timing R5,Exactly ten one-to-one DIO and Pico events with locked master clock,Ten DIO0 rises ten DIO1 rises ten overflow-free Pico segments and 180.022 ms stream margin,HF01-TIMING10-R5-001,PASS_HF01_TIMING_COPY_V3,Final T660 safe idle matched and AWG remained zero
HF01-LEDGER-0031,2026-08-26T21:23:01Z,Codex,Diagnosed common response-reference detuning and repeated the same frozen anchors,Keep response settings fixed while correcting only the shared reference,Three initial records show mean detuning 13.7894589533 Hz,HF01-ANALYSIS-REFERENCE-DETUNING-001,REPEAT_FROZEN_ANCHORS_ONLY,No additional model point authorized by this synchronization correction
