decision_id,final_disposition,tr01_closure,downstream_claim_consequence
P0-D001,KEEP,SATISFIED,"Installed reference SIP 445161066 and detector 21834 identified; DET-01 through DET-04 still required"
P0-D002,NARROW,CLOSED,"Pico 10261 actual used configurations and manufacturer accuracy retained; no formal certificate claim"
P0-D003,DISCARD,CLOSED,"T660-1 identity settings and direct T1-01/PT-01/MC-01 evidence only"
P0-D004,DISCARD,CLOSED,"T660-2 identity settings and direct T2-01 evidence only"
P0-D005,DISCARD,CLOSED,"MIRcat claims limited to campaign-measured behavior; later SP-02/QB-01 required"
P0-D006,DISCARD,CLOSED,"Nd:YAG claims limited to PB-01 measurements and identified manufacturer-only bounds"
P0-D007,DISCARD,CLOSED,"OPO claims limited to PB-02 measurements and identified manufacturer-only bounds"
P0-D008,DISCARD,CLOSED,"HF2LI installed-chain qualification only; no traceable absolute gain claim"
P0-D009,DISCARD,CLOSED,"Sample chain exact identity/settings and DET-01 through DET-04 direct measurements required"
P0-D010,DISCARD,CLOSED,"Reference chain exact identity/settings and DET-01 through DET-04 direct measurements required"
P0-D011,KEEP,SATISFIED_FOR_ACCEPTED_MC01_CONFIGURATION,"MIRcat GUI 1.9.0.4 firmware 3.1.0 SDK API 2.4.1 recorded; later configurations record versions again"
P0-D012,KEEP,SATISFIED_FOR_ACCEPTED_MC01_CONFIGURATION,"LabOne zhinst 26.4.0 core 26.4.0.940 API level 1 recorded; HF-01 and later accepted configurations record versions again"
P0-D013,KEEP,DEFERRED_TO_SP-01,"Known-value polystyrene alignment blocked until authoritative features and uncertainty are established"
P0-D014,DISCARD,CLOSED,"Absolute polystyrene film absorbance excluded"
P0-D015,KEEP,DEFERRED_TO_SP-01,"Independent known-value Mylar validation blocked until authoritative features and uncertainty are established"
P0-D016,DISCARD,CLOSED,"Absolute Mylar response and quantitative etalon prediction excluded"
P0-D017,DISCARD,CLOSED,"Temperature is observational only"
P0-D018,DISCARD,CLOSED,"Relative humidity is observational only; no humidity correction"
P0-D019,DISCARD,CLOSED,"Stable MIRcat DB9 component IDs wiring photographs and direct behavior are authority"
P0-D020,NARROW,CLOSED,"Stable NDYAG-DB9-BNC-01 and NDYAG-2WIRE-BNC-01 wiring authority photographs and measured corrections retained"
P0-D021,KEEP,CLOSED,"Contract/schema 1.0.0 phase configuration IDs and recorded analysis/software versions used; no hash gate"
